st_case,crashdate,state,statename,countyname,totalvehicles,fatals,persons,peds
10001,1/1/2014 1:15 AM,1,Alabama,JACKSON (71),1,1,2,0
10002,1/1/2014 1:30 PM,1,Alabama,FRANKLIN (59),1,1,1,0
10003,1/1/2014 3:07 AM,1,Alabama,TUSCALOOSA (125),2,2,7,0
10004,1/2/2014 9:00 AM,1,Alabama,TALLADEGA (121),3,1,5,0
10005,1/2/2014 4:30 PM,1,Alabama,CULLMAN (43),1,1,1,0
10006,1/3/2014 2:00 AM,1,Alabama,CONECUH (35),1,1,1,0
10007,1/3/2014 6:40 PM,1,Alabama,MOBILE (97),3,1,2,0
10008,1/4/2014 6:20 AM,1,Alabama,BUTLER (13),2,1,4,0
10009,1/4/2014 3:39 PM,1,Alabama,WALKER (127),3,1,5,0
10010,1/6/2014 5:56 PM,1,Alabama,MONTGOMERY (101),2,2,6,0
10011,1/8/2014 8:48 AM,1,Alabama,LIMESTONE (83),1,1,1,0
10012,1/8/2014 12:34 PM,1,Alabama,MOBILE (97),2,1,2,0
10013,1/8/2014 3:47 PM,1,Alabama,ESCAMBIA (53),1,1,1,0
10014,1/9/2014 6:00 AM,1,Alabama,CULLMAN (43),1,1,1,0
10015,1/8/2014 9:31 PM,1,Alabama,CALHOUN (15),2,2,2,1
10016,1/10/2014 4:15 PM,1,Alabama,BIBB (7),1,1,7,0
10017,1/10/2014 5:15 PM,1,Alabama,CULLMAN (43),2,1,3,0
10018,1/10/2014 6:10 PM,1,Alabama,HENRY (67),1,1,1,0
10019,1/10/2014 9:40 PM,1,Alabama,MOBILE (97),1,1,1,0
10020,1/11/2014 3:32 AM,1,Alabama,MADISON (89),1,1,2,0
10021,1/11/2014 8:23 PM,1,Alabama,LEE (81),1,1,2,1
10022,1/2/2014 1:12 PM,1,Alabama,DALE (45),1,1,1,0
10023,1/3/2014 1:30 PM,1,Alabama,DEKALB (49),2,1,3,0
10024,1/7/2014 6:15 PM,1,Alabama,WILCOX (131),2,1,2,0
10025,1/8/2014 5:43 PM,1,Alabama,FRANKLIN (59),3,1,4,0
10026,1/9/2014 10:32 AM,1,Alabama,LEE (81),1,1,1,0
10027,1/9/2014 6:30 PM,1,Alabama,TUSCALOOSA (125),2,1,4,0
10028,1/10/2014 7:10 AM,1,Alabama,COVINGTON (39),1,1,1,0
10029,1/11/2014 2:15 AM,1,Alabama,JEFFERSON (73),3,1,11,0
10030,1/13/2014 1:20 PM,1,Alabama,MADISON (89),1,1,1,0
10031,1/14/2014 10:09 AM,1,Alabama,COVINGTON (39),2,1,2,0
10032,1/15/2014 2:40 AM,1,Alabama,BARBOUR (5),1,1,1,0
10033,1/15/2014 10:50 PM,1,Alabama,TUSCALOOSA (125),2,1,4,0
10034,1/17/2014 7:16 PM,1,Alabama,RUSSELL (113),1,1,1,0
10035,1/18/2014 2:10 PM,1,Alabama,RANDOLPH (111),2,1,4,0
10036,1/18/2014 10:05 PM,1,Alabama,BALDWIN (3),1,1,2,0
10037,1/19/2014 11:12 AM,1,Alabama,JEFFERSON (73),2,1,3,0
10038,1/20/2014 12:15 AM,1,Alabama,DEKALB (49),1,1,1,0
10039,1/20/2014 4:55 PM,1,Alabama,LOWNDES (85),4,1,4,0
10040,1/25/2014 9:03 AM,1,Alabama,MADISON (89),1,1,2,0
10041,1/26/2014 7:55 PM,1,Alabama,MARION (93),1,1,1,1
10042,1/28/2014 7:55 AM,1,Alabama,ELMORE (51),4,2,9,0
10043,1/28/2014 11:35 AM,1,Alabama,TUSCALOOSA (125),1,3,5,0
10044,1/29/2014 11:55 AM,1,Alabama,MADISON (89),2,1,2,0
10045,1/30/2014 7:15 AM,1,Alabama,DEKALB (49),1,1,1,0
10046,1/30/2014 10:51 AM,1,Alabama,CULLMAN (43),2,1,3,0
10047,1/30/2014 5:00 AM,1,Alabama,CHILTON (21),1,1,1,0
10048,1/30/2014 1:40 PM,1,Alabama,CHILTON (21),3,1,3,0
10049,1/30/2014 5:20 PM,1,Alabama,BULLOCK (11),1,1,1,0
10050,1/30/2014 9:52 PM,1,Alabama,LEE (81),1,1,1,0
10051,1/31/2014 7:10 AM,1,Alabama,LAWRENCE (79),2,2,3,0
10052,1/9/2014 11:45 PM,1,Alabama,BARBOUR (5),1,1,1,0
10053,1/14/2014 6:59 AM,1,Alabama,MADISON (89),2,1,2,0
10054,1/23/2014 12:14 PM,1,Alabama,SHELBY (117),1,1,1,0
10055,1/17/2014 2:03 PM,1,Alabama,BALDWIN (3),1,1,1,2
10056,1/17/2014 3:15 PM,1,Alabama,GREENE (63),1,1,1,0
10057,1/26/2014 4:45 AM,1,Alabama,BUTLER (13),1,1,5,0
10058,1/27/2014 1:00 PM,1,Alabama,JEFFERSON (73),5,1,6,0
10059,1/28/2014 11:05 AM,1,Alabama,PERRY (105),2,1,2,0
10060,1/31/2014 4:36 PM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10061,1/25/2014 6:25 PM,1,Alabama,MOBILE (97),1,1,6,1
10062,2/1/2014 1:35 PM,1,Alabama,COFFEE (31),1,1,1,0
10063,2/1/2014 12:01 AM,1,Alabama,COFFEE (31),1,1,1,0
10064,2/1/2014 7:20 AM,1,Alabama,AUTAUGA (1),1,1,1,0
10065,2/1/2014 11:45 PM,1,Alabama,RUSSELL (113),2,1,2,0
10066,2/3/2014 3:45 PM,1,Alabama,MARENGO (91),1,1,1,0
10067,2/2/2014 8:23 PM,1,Alabama,FAYETTE (57),3,3,4,0
10068,2/3/2014 3:45 PM,1,Alabama,MADISON (89),2,1,2,0
10069,2/3/2014 10:53 AM,1,Alabama,JACKSON (71),2,1,2,0
10070,2/4/2014 12:14 PM,1,Alabama,CHEROKEE (19),2,2,4,0
10071,2/4/2014 1:20 PM,1,Alabama,MOBILE (97),1,1,1,1
10072,2/4/2014 6:02 PM,1,Alabama,SHELBY (117),1,1,1,2
