CaseNumber,Make,Model,Year,LicenseState,Death,Speeding,SpeedLimit,RoadConditions,Violation
60001,BMW,3-series,2007,Maryland,0,"Yes, Exceeded Speed Limit",65,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60001,Lexus,SC-400/SC-300,1992,California,0,No,65,Dry,None
60001,Ford,F-Series pickup,2010,California,2,No,65,Dry,None
60001,Mazda,Mazda3,2005,California,0,No,65,Dry,None
60002,Toyota,Prius *,2007,California,1,No,70,Dry,None
60003,Honda,"Civic/CRX, del Sol",2003,California,1,No,55,Dry,None
60003,Dodge,Avenger,2008,California,0,No,55,Dry,None
60004,Suzuki,350-449cc,2017,California,1,"Yes, Too Fast for Conditions",55,Dry,None
60005,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2015,California,1,"Yes, Too Fast for Conditions",65,Wet,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60006,Chevrolet,Camaro,2014,California,1,"Yes, Too Fast for Conditions",55,Wet,None
60007,GMC,S15/T15/Sonoma,2002,California,1,No,55,Dry,None
60008,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,No,65,Dry,None
60009,Toyota,Avalon,1998,California,1,No,65,Dry,None
60009,Honda,Pilot,2015,California,0,No,65,Dry,None
60010,Chevrolet,Equinox,2013,California,1,No,55,Dry,None
60010,Toyota,Sienna,2005,California,0,No,55,Dry,None
60011,Lexus,RX330/350/400h/450h,2005,California,0,"Yes, Too Fast for Conditions",65,Dry,None
60011,Toyota,Camry,2003,California,1,No,65,Dry,None
60012,Ford,E-Series Van/Econoline,2005,California,0,No,55,Dry,None
60013,Dodge,Challenger (2008 on; for 1970-74 see model 005),2016,California,1,No,70,Dry,None
60014,Hyundai,Sonata,2013,California,1,No,65,Dry,None
60014,Toyota,Scion tC (2005-2011 only.  See Scion for 2012 on.),2011,California,0,No,65,Dry,None
60015,Volkswagen,Jetta/Jetta SportsWagen,2007,Mexico,1,No,70,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60016,Nissan/Datsun,Pathfinder Armada,2018,California,0,No,70,Dry,None
60017,Honda,"Civic/CRX, del Sol",1996,California,2,No,55,Dry,None
60017,Chevrolet,Avalanche,2004,California,0,No,55,Dry,None
60018,Chevrolet,S-10/T-10 Pickup,1998,California,1,No,55,Dry,None
60019,Nissan/Datsun,Cube,2009,California,0,"Yes, Too Fast for Conditions",25,Dry,None
60020,Subaru,Impreza,2003,Colorado,1,No,55,Dry,None
60020,Chevrolet,Camaro,2014,Nevada,0,No,55,Dry,None
60021,GMC,"C, K, R, V-series pickup/     Sierra",2002,California,1,No,55,Wet,None
60022,Other Make,Other (vehicle),2010,California,1,No,98,Not Reported,None
60023,Chevrolet,"C, K, R, V-series pickup/Silverado",1989,California,1,No,55,Dry,None
60024,International Harvester/Navistar,Medium/Heavy - CBE,2016,California,1,No,65,Wet,None
60025,Toyota,FJ Cruiser,2007,California,1,No,50,Dry,None
60026,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2000,California,1,No,65,Wet,None
60027,Nissan/Datsun,Sentra,2018,California,1,No,55,Dry,None
60027,GMC,"C, K, R, V-series pickup/     Sierra",2017,Utah,0,No,55,Dry,None
60028,Ford,Focus,2006,California,1,No,55,Dry,None
60029,Honda,750 cc or greater,2002,California,1,No,55,Dry,None
60030,Freightliner,Medium/Heavy - CBE,2014,California,0,No,55,Dry,None
60031,Harley-Davidson,750cc or greater,2018,California,1,"Yes, Too Fast for Conditions",55,Wet,None
60031,Jeep / Kaiser-Jeep / Willys- Jeep,YJ series/Wrangler,2017,California,0,No,55,Wet,None
60032,Dodge,Ram Pickup,2014,California,1,No,55,Dry,None
60032,Peterbilt,Medium/Heavy - CBE,2011,No Driver Present/Unknown if Driver Present,0,No Driver Present/Unknown if Driver Present,55,Dry,No Driver Present/Unknown if Driver Present
60033,Ford,Transit Connect,2016,California,0,No,65,Wet,None
60034,Chevrolet,"C, K, R, V-series pickup/Silverado",1996,California,0,"Yes, Too Fast for Conditions",55,Dry,None
60035,Ford,Expedition,2002,California,0,No,60,Dry,None
60036,Ford,Ranger,2004,California,1,No,55,Dry,None
60036,Honda,CR-V,2017,California,0,No,55,Dry,None
60037,Audi,A7,2012,California,1,No,65,Wet,None
60038,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2000,California,1,No,65,Dry,None
60039,Nissan/Datsun,Versa,2014,Nevada,1,No,65,Dry,None
60040,Mazda,Mazda3,2005,California,1,No,55,Dry,None
60040,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2017,California,0,No,55,Dry,None
60041,Audi,TT/TTS,2000,California,1,No,65,Dry,None
60042,Hyundai,Elantra,2007,California,1,No,55,Dry,None
60042,Chevrolet,Equinox,2011,California,0,No,55,Dry,None
60043,Dodge,Dakota,2005,California,1,No,65,Dry,None
60044,Kawasaki,125-349cc,2019,California,1,No,15,Dry,None
60044,Jeep / Kaiser-Jeep / Willys- Jeep,YJ series/Wrangler,2009,California,0,No,15,Dry,None
60045,Chevrolet,Suburban (from 1950-2003;see 422 for 2004 on),2002,California,1,No,70,Dry,None
60046,Subaru,Forester,2014,California,1,No,55,Dry,None
60046,Volvo,Medium/Heavy ï¿½ CBE,1999,California,0,No,55,Dry,None
60047,Toyota,Prius *,2008,California,0,No,55,Wet,None
60048,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2000,California,1,No,65,Wet,None
60049,Ford,F-Series pickup,2012,Colorado,0,No,55,Dry,None
60049,Chevrolet,Camaro,2018,Nevada,0,No,55,Dry,None
60050,Acura,TL,2003,California,0,"Yes, Too Fast for Conditions",70,Dry,None
60050,Toyota,Avalon,1998,No Driver Present/Unknown if Driver Present,0,No Driver Present/Unknown if Driver Present,70,Dry,No Driver Present/Unknown if Driver Present
60051,Toyota,Corolla,2016,California,1,No,65,Wet,None
60052,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2003,California,1,"Yes, Exceeded Speed Limit",55,Wet,None
60053,Freightliner,Medium/Heavy - CBE,2015,California,0,No,55,Not Reported,None
60054,Hyundai,Sonata,2015,California,1,No,55,Dry,None
60054,Nissan/Datsun,Frontier (1998 on),2000,California,0,No,55,Dry,None
60055,Honda,"Civic/CRX, del Sol",2004,California,1,No,65,Dry,None
60055,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",1998,California,0,No,65,Dry,None
60056,Toyota,Sienna,2004,California,0,No,65,Wet,None
60057,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2001,California,1,No,55,Dry,None
