CaseNumber,State,County,City,Lat,Long,Year,Month,MonthName,Day,WeekDay,Hour,Function,Route,Fatalities,People,Pedestrian,Vehicle_total,Vehicle_ord,DrunkDriver,CollisionType,LightConditions,Deadly
60001,California,ORANGE,GARDEN GROVE,33.77441944,-118.0137222,2019,1,January,1,Tuesday,0,Principal Arterial - Other Freeways and Expressways,State Highway,2,8,0,4,Multiple,1,Front-to-Rear ,Dark - Not Lighted,0.25
60002,California,RIVERSIDE,NOT APPLICABLE,33.60948889,-114.7764194,2019,1,January,2,Wednesday,6,Interstate,Interstate,1,1,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dawn,1
60003,California,SAN LUIS OBISPO,NOT APPLICABLE,35.27420833,-120.7093083,2019,1,January,3,Thursday,7,Minor Arterial,Unknown,1,2,0,2,Double,0,Front-to-Front,Daylight,0.5
60004,California,FRESNO,NOT APPLICABLE,36.9699,-119.5778389,2019,1,January,1,Tuesday,13,Major Collector,Unknown,1,1,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
60005,California,ORANGE,GARDEN GROVE,33.76623889,-117.9738333,2019,1,January,6,Sunday,0,Principal Arterial - Other Freeways and Expressways,State Highway,1,4,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,0.25
60006,California,SUTTER,NOT APPLICABLE,38.91821111,-121.4877111,2019,1,January,18,Friday,23,Minor Arterial,Unknown,1,1,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
60007,California,SAN JOAQUIN,NOT APPLICABLE,37.72406944,-121.3249306,2019,1,January,21,Monday,16,Major Collector,Unknown,1,1,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
60008,California,SUTTER,NOT APPLICABLE,39.20141944,-121.6351889,2019,1,January,23,Wednesday,5,Principal Arterial - Other Freeways and Expressways,State Highway,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
60009,California,FRESNO,NOT APPLICABLE,36.73603889,-119.591975,2019,1,January,7,Monday,17,Principal Arterial - Other Freeways and Expressways,State Highway,1,6,0,2,Double,0,Angle ,Daylight,0.166666667
60010,California,FRESNO,NOT APPLICABLE,36.64168889,-119.7367889,2019,1,January,7,Monday,17,Minor Collector,Unknown,1,2,0,3,Multiple,0,Angle ,Dusk,0.5
60011,California,SANTA CLARA,SAN JOSE,37.35374444,-121.8659,2019,1,January,5,Saturday,0,Principal Arterial - Other Freeways and Expressways,U.S. Highway,1,2,0,2,Double,1,Front-to-Front,Dark - Not Lighted,0.5
60012,California,MERCED,NOT APPLICABLE,36.97894722,-120.6356167,2019,1,January,23,Wednesday,19,Minor Arterial,State Highway,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
60013,California,RIVERSIDE,CATHEDRAL CITY,33.84946111,-116.4590306,2019,1,January,12,Saturday,20,Interstate,Interstate,1,1,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
60014,California,SANTA BARBARA,SANTA MARIA,34.98016111,-120.4310889,2019,1,January,1,Tuesday,2,Principal Arterial - Other Freeways and Expressways,U.S. Highway,1,4,0,2,Double,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,0.25
60015,California,SAN BERNARDINO,NOT APPLICABLE,35.15471944,-116.1919583,2019,1,January,31,Thursday,23,Interstate,Interstate,1,2,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,0.5
60016,California,KERN,NOT APPLICABLE,34.89090833,-118.1659389,2019,1,January,7,Monday,18,Principal Arterial - Other,State Highway,1,3,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,0.333333333
60017,California,YUBA,NOT APPLICABLE,39.26086944,-121.5979333,2019,1,January,30,Wednesday,11,Principal Arterial - Other,State Highway,2,4,0,2,Double,0,Angle ,Daylight,0.5
60018,California,KERN,NOT APPLICABLE,35.14461944,-118.914625,2019,1,January,7,Monday,1,Minor Arterial,Unknown,1,1,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
60019,California,CONTRA COSTA,NOT APPLICABLE,37.98540556,-122.0693278,2019,2,February,6,Wednesday,7,Local,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
60020,California,PLACER,NOT APPLICABLE,39.22885556,-120.2057389,2019,1,January,26,Saturday,18,Minor Arterial,State Highway,1,3,0,2,Double,1,Front-to-Front,Dark - Not Lighted,0.333333333
60021,California,KERN,NOT APPLICABLE,35.44556944,-119.2965917,2019,1,January,12,Saturday,3,Local,Unknown,1,1,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
60022,California,TUOLUMNE,NOT APPLICABLE,38.28386389,-119.9684333,2019,1,January,1,Tuesday,13,Minor Arterial,State Highway,1,1,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
60023,California,FRESNO,NOT APPLICABLE,36.60456667,-119.4700333,2019,1,January,26,Saturday,1,Major Collector,Unknown,1,1,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
60024,California,SANTA CLARA,SAN JOSE,37.35906667,-121.8720944,2019,1,January,9,Wednesday,3,Principal Arterial - Other Freeways and Expressways,U.S. Highway,1,2,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,0.5
60025,California,SANTA CLARA,NOT APPLICABLE,37.15518056,-121.9852111,2019,1,January,31,Thursday,17,Principal Arterial - Other Freeways and Expressways,State Highway,1,1,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
